id,mag,ra,dec
2452,12.00,07:47:26.37,-27:20:02.4
2453,8.30,07:47:34.13,-27:11:41.3
2455,10.20,07:48:58.60,-21:17:52.6
2460,11.71,07:56:52.29,+60:20:57.8
2466,13.14,07:45:16.05,-71:24:37.5
2470,12.69,07:54:20.77,+04:27:34.9
2475,13.11,07:58:00.44,+52:51:42.1
2476,12.62,07:56:45.18,+39:55:40.4
2477,5.80,07:52:09.78,-38:31:59.7
2479,9.60,07:55:06.07,-17:42:28.1
2481,12.50,07:57:13.75,+23:46:04.0
2482,7.30,07:55:10.37,-24:15:16.7
2483,7.60,07:55:38.79,-27:53:12.6
2484,13.13,07:58:28.11,+37:47:11.8
2486,13.47,07:57:56.49,+25:09:39.1
2487,12.60,07:58:20.46,+25:08:57.2
2488,12.45,08:01:45.98,+56:33:13.9
2489,7.90,07:56:14.94,-30:03:39.0
2492,12.74,07:59:29.71,+27:01:35.2
2493,12.06,08:00:23.63,+39:49:49.5
2495,15.15,08:00:33.15,+39:50:24.1
2500,11.65,08:01:53.21,+50:44:13.6
2502,11.96,07:55:51.52,-52:18:24.4
2506,7.60,08:00:01.78,-10:46:10.7
2509,9.30,08:00:47.82,-19:03:01.9
2512,13.15,08:03:07.85,+23:23:30.6
2513,11.63,08:02:24.67,+09:24:48.8
2514,13.45,08:02:49.64,+15:48:29.8
2516,3.80,07:58:07.06,-60:45:12.5
2517,11.92,08:02:47.07,-12:19:04.2
2520,6.50,08:04:58.18,-28:08:48.0
2521,13.10,08:08:49.37,+57:46:10.6
2523,11.90,08:15:00.09,+73:34:44.3
2524,12.70,08:08:09.59,+39:09:26.8
2525,11.47,08:05:38.04,-11:25:37.3
2532,12.67,08:10:15.18,+33:57:23.9
2533,7.60,08:07:04.10,-29:53:01.9
2534,12.97,08:12:54.15,+55:40:19.4
2535,12.69,08:11:13.49,+25:12:24.5
2536,14.14,08:11:15.92,+25:10:45.7
2537,11.71,08:13:14.64,+45:59:23.3
2537,15.70,08:13:41.03,+45:59:37.5
2539,6.50,08:10:36.98,-12:49:14.4
2541,11.70,08:14:40.12,+49:03:42.2
2542,4.72,08:11:16.39,-12:55:37.5
2543,12.39,08:12:57.92,+36:15:16.7
2544,12.91,08:21:40.34,+73:59:18.1
2545,12.45,08:14:14.16,+21:21:19.7
2546,6.30,08:12:15.63,-37:35:39.5
2547,4.70,08:10:09.49,-49:12:20.4
2548,5.80,08:13:43.18,-05:45:01.6
2549,11.14,08:18:58.35,+57:48:11.0
2551,12.11,08:24:50.28,+73:24:43.3
2552,12.25,08:19:20.53,+50:00:34.7
2554,12.02,08:17:53.49,+23:28:19.7
2558,13.02,08:19:12.76,+20:30:38.7
2559,11.33,08:17:06.07,-27:27:21.0
2560,13.28,08:19:51.89,+20:59:05.9
2562,12.98,08:20:23.66,+21:07:53.3
2563,12.31,08:20:35.69,+21:04:04.1
2565,12.48,08:19:48.32,+22:01:53.2
2566,10.81,08:18:45.66,-25:29:58.3
2567,7.40,08:18:35.18,-30:38:08.2
2570,14.67,08:21:22.54,+20:54:38.0
2571,7.00,08:18:56.35,-29:44:57.4
2573,13.53,01:41:37.33,-89:20:04.3
2575,12.98,08:22:44.96,+24:17:48.9
2577,12.42,08:22:43.45,+22:33:11.1
2578,12.59,08:21:24.27,-13:19:04.3
2580,9.70,08:21:27.90,-30:17:36.5
2582,13.11,08:25:12.07,+20:20:05.1
2583,13.44,08:23:07.93,-05:00:08.6
2587,9.20,08:23:24.08,-29:30:31.4
2588,11.80,08:23:09.57,-32:58:30.6
2590,13.01,08:25:02.00,-00:35:29.0
2595,12.39,08:27:42.02,+21:28:44.8
2596,13.48,08:27:26.52,+17:17:02.7
2598,13.61,08:30:02.52,+21:29:19.2
2599,12.20,08:32:11.30,+22:33:38.0
2604,14.92,08:33:23.14,+29:32:19.7
2608,12.25,08:35:17.33,+28:28:24.3
2610,12.70,08:33:23.40,-16:08:58.0
2613,10.38,08:33:22.84,-22:58:25.2
2616,12.57,08:35:34.07,-01:51:00.5
2617,14.00,08:35:38.79,-04:05:17.6
2619,12.72,08:37:32.71,+28:42:18.7
2622,14.12,08:38:10.94,+24:53:43.0
2623,13.55,08:38:24.08,+25:45:16.7
2627,8.40,08:37:14.94,-29:57:01.5
2629,12.26,08:47:15.82,+72:59:08.3
2632,3.10,08:40:22.20,+19:40:19.4
2633,12.08,08:48:04.58,+74:05:55.9
2634,11.97,08:48:25.39,+73:58:01.8
2635,11.20,08:38:25.99,-34:46:17.7
2636,13.77,08:48:24.43,+73:40:16.1
2639,11.76,08:43:38.08,+50:12:20.0
2640,11.02,08:37:24.62,-55:07:25.5
2642,12.65,08:40:44.37,-04:07:18.2
2645,7.32,08:39:03.12,-46:13:38.3
2648,11.88,08:42:39.80,+14:17:08.2
2654,11.69,08:49:11.87,+60:13:16.0
2655,10.39,08:55:37.73,+78:13:23.1
2656,13.76,08:47:53.07,+53:52:34.2
2658,9.20,08:43:27.34,-32:39:22.4
2659,8.60,08:42:33.02,-45:00:01.9
2660,8.80,08:42:37.99,-47:12:02.4
2663,10.59,08:45:08.25,-33:47:41.1
2665,11.63,08:46:00.99,-19:18:10.4
2669,6.10,08:46:22.57,-52:56:51.1
2670,7.80,08:45:29.48,-48:47:29.9
2671,11.60,08:46:11.89,-41:52:37.8
2672,11.64,08:49:21.89,+19:04:29.9
2675,13.26,08:52:04.95,+53:37:02.3
2681,10.86,08:53:32.74,+51:18:49.2
2682,6.90,08:51:20.13,+11:48:43.0
2683,9.69,08:52:41.33,+33:25:18.3
2684,13.01,08:54:54.04,+49:09:37.4
2685,11.35,08:55:34.71,+58:44:03.8
2686,17.12,08:54:58.91,+49:08:32.4
2691,13.47,08:54:46.34,+39:32:19.2
2692,12.75,08:56:58.01,+52:03:57.4
2693,11.86,08:56:59.27,+51:20:50.8
2694,14.14,08:56:59.26,+51:19:55.1
2695,12.02,08:54:27.07,-03:04:01.3
2698,11.86,08:55:36.51,-03:11:02.2
2701,12.36,08:59:05.74,+53:46:18.0
2708,11.96,08:56:08.05,-03:21:36.4
2710,13.08,08:59:48.35,+55:42:23.0
2712,12.19,08:59:30.47,+44:54:50.0
2713,11.82,08:57:20.51,+02:55:16.7
2715,11.49,09:08:06.20,+78:05:06.6
2716,12.19,08:57:35.88,+03:05:24.8
2717,12.29,08:57:01.12,-24:40:25.5
2718,14.24,08:58:50.47,+06:17:34.8
2719,14.00,09:00:15.46,+35:43:39.5
2726,13.00,09:04:56.77,+59:55:58.5
2732,11.89,09:13:24.73,+79:11:14.4
2735,13.76,09:02:38.64,+25:56:04.3
2742,11.49,09:07:33.53,+60:28:45.6
2744,13.40,09:04:39.00,+18:27:52.0
2748,11.68,09:13:43.02,+76:28:31.2
2749,11.84,09:05:21.32,+18:18:47.2
2759,13.04,09:08:37.29,+37:37:17.8
2763,12.07,09:06:49.05,-15:29:59.2
2764,12.90,09:08:17.47,+21:26:36.0
2768,9.87,09:11:37.50,+60:02:14.0
2770,12.21,09:09:33.71,+33:07:24.7
2775,10.24,09:10:20.12,+07:02:16.6
2776,11.68,09:12:14.51,+44:57:17.4
2778,12.41,09:12:24.37,+35:01:39.1
2781,11.57,09:11:27.52,-14:49:00.6
2782,12.36,09:14:05.11,+40:06:49.3
2784,10.10,09:12:19.50,-24:10:21.4
2785,13.38,09:15:15.39,+40:55:03.1
2787,11.25,09:19:18.60,+69:12:11.7
2789,13.06,09:14:59.66,+29:43:49.0
2792,11.60,09:12:26.57,-42:25:39.0
2794,13.15,09:16:01.79,+17:35:23.4
2798,12.39,09:17:22.79,+41:59:59.0
2799,13.71,09:17:31.03,+41:59:38.7
2804,12.90,09:16:50.01,+20:11:54.6
2805,11.56,09:20:20.41,+64:06:10.0
2808,5.69,09:12:02.54,-64:51:46.2
2809,13.02,09:17:06.92,+20:04:10.9
2810,12.23,09:22:04.50,+71:50:38.5
2811,11.45,09:16:11.11,-16:18:45.8
2814,13.77,09:21:11.48,+64:15:11.5
2815,11.86,09:16:19.75,-23:37:59.7
2818,11.60,09:16:01.50,-36:37:37.0
2820,12.78,09:21:45.58,+64:15:28.6
2820,15.04,09:21:30.07,+64:14:19.4
2822,11.40,09:13:49.72,-69:38:41.4
2824,12.67,09:19:02.23,+26:16:11.9
2830,14.11,09:19:41.41,+33:44:17.3
2831,13.38,09:19:45.49,+33:44:42.0
2832,11.79,09:19:46.86,+33:44:59.1
2835,10.64,09:17:52.91,-22:21:16.8
2841,10.18,09:22:02.63,+50:58:35.5
2842,12.49,09:15:36.43,-63:04:10.7
2844,12.89,09:21:48.01,+40:09:04.5
2845,11.97,09:18:36.71,-38:00:36.3
2848,12.11,09:20:09.83,-16:31:33.8
2849,12.50,09:19:22.87,-40:31:13.4
2855,11.05,09:21:27.49,-11:54:34.2
2856,13.26,09:24:16.01,+49:14:57.1
2857,12.32,09:24:37.72,+49:21:25.4
2859,10.94,09:24:18.53,+34:30:48.6
2861,13.06,09:23:36.50,+02:08:11.3
2865,11.48,09:23:30.21,-23:09:41.2
2867,9.70,09:21:24.97,-58:18:42.0
2872,11.86,09:25:42.54,+11:25:55.7
2874,12.48,09:25:47.33,+11:25:28.5
2880,11.61,09:29:34.56,+62:29:26.0
2885,16.00,09:27:18.51,+23:01:12.4
2887,11.66,09:23:24.05,-63:48:45.2
2888,12.57,09:26:19.67,-28:02:06.3
2889,11.78,09:27:12.59,-11:38:36.3
2891,12.60,09:26:56.63,-24:46:58.9
2893,13.19,09:30:16.96,+29:32:23.9
2899,11.80,09:27:02.96,-56:06:21.7
2903,8.91,09:32:10.11,+21:30:03.0
2904,12.46,09:30:17.00,-30:23:06.1
2907,11.63,09:31:36.72,-16:44:04.8
2910,7.20,09:30:29.02,-52:54:50.4
2911,13.18,09:33:46.11,+10:09:08.8
2914,13.12,09:34:02.78,+10:06:30.9
2915,12.61,09:26:11.53,-76:37:34.8
2916,12.08,09:34:57.60,+21:42:19.0
2919,13.60,09:34:47.52,+10:17:01.4
2922,13.64,09:36:52.47,+37:41:41.6
2925,8.30,09:33:10.92,-53:23:45.5
2935,11.19,09:36:44.85,-21:07:41.3
2936,13.08,09:37:44.15,+02:45:38.9
2937,13.66,09:37:45.03,+02:44:50.5
2942,12.89,09:39:07.96,+34:00:22.8
2947,12.76,09:36:05.79,-12:26:12.2
2950,11.03,09:42:35.15,+58:51:04.6
2954,12.39,09:40:24.07,+14:55:21.5
2955,12.89,09:41:16.62,+35:52:56.2
2959,12.69,09:45:08.97,+68:35:40.5
2960,15.00,09:40:36.38,+03:34:37.2
2961,14.70,09:45:22.47,+68:36:29.8
2962,11.88,09:40:53.93,+05:09:56.9
2964,11.37,09:42:54.23,+31:50:50.6
2965,14.70,09:43:19.15,+36:14:52.1
2967,11.61,09:42:03.29,+00:20:11.2
2968,11.73,09:43:12.01,+31:55:43.3
2970,13.64,09:43:31.07,+31:58:37.1
2972,9.90,09:40:11.52,-50:19:15.4
2974,10.89,09:42:33.28,-03:41:56.9
2976,10.16,09:47:15.46,+67:54:59.0
2980,12.99,09:43:11.97,-09:36:44.6
2983,11.87,09:43:41.10,-20:28:37.9
2985,10.51,09:50:22.23,+72:16:43.1
2986,10.64,09:44:16.04,-21:16:40.8
2989,13.37,09:45:25.22,-18:22:26.1
2990,12.76,09:46:17.16,+05:42:31.7
2991,12.64,09:46:50.12,+22:00:50.2
2992,13.10,09:45:42.05,-14:19:35.0
2993,12.64,09:45:48.33,-14:22:05.9
2994,13.08,09:47:16.11,+22:05:22.2
2997,9.41,09:45:38.79,-31:11:27.9
2998,12.54,09:48:43.63,+44:04:53.2
3001,11.57,09:46:18.66,-30:26:14.9
3003,11.78,09:48:36.05,+33:25:17.4
3010,16.23,09:50:33.15,+44:18:51.8
3021,12.42,09:50:57.15,+33:33:13.1
3023,12.70,09:49:52.59,+00:37:05.4
3027,11.76,09:55:40.60,+72:12:12.8
3029,14.01,09:48:54.02,-08:03:03.4
3031,6.92,09:55:33.17,+69:03:55.1
3032,13.09,09:52:08.15,+29:14:10.4
3033,8.80,09:48:35.04,-56:25:48.2
3034,8.30,09:55:52.73,+69:40:45.8
3035,13.50,09:51:55.03,-06:49:22.5
3038,11.69,09:51:15.45,-32:45:09.2
3041,11.55,09:53:07.14,+16:40:39.6
3044,11.94,09:53:40.88,+01:34:46.7
3051,15.00,09:53:58.64,-27:17:10.8
3052,12.36,09:54:27.93,-18:38:20.0
3054,11.48,09:54:28.60,-25:42:12.4
3055,12.06,09:55:18.06,+04:16:12.1
3056,11.70,09:54:32.88,-28:17:53.5
3057,13.09,10:05:39.36,+80:17:08.5
3059,11.30,09:50:08.16,-73:55:19.9
3065,13.12,10:01:55.22,+72:10:13.2
3066,12.89,10:02:11.07,+72:07:31.4
3067,12.13,09:58:21.08,+32:22:11.6
3068,14.05,09:58:40.10,+28:52:39.2
3070,12.29,09:58:06.95,+10:21:35.2
3073,13.43,10:00:52.08,+55:37:07.8
3074,12.83,09:59:41.21,+35:23:34.1
3077,9.88,10:03:19.07,+68:44:02.1
3078,11.16,09:58:24.61,-26:55:36.0
3079,10.71,10:01:57.80,+55:40:47.2
3080,15.01,09:59:55.84,+13:02:37.8
3081,12.90,09:59:29.54,-22:49:34.6
3085,12.92,09:59:29.18,-19:29:32.2
3087,11.43,09:59:08.66,-34:13:30.8
3090,12.58,10:00:30.23,-02:58:08.4
3091,11.00,10:00:14.29,-19:38:13.1
3095,11.63,10:00:05.83,-31:33:10.3
3096,13.09,10:00:33.11,-19:39:43.1
3098,11.96,10:02:16.69,+24:42:39.9
3100,11.37,10:00:40.84,-31:39:52.3
3104,12.78,10:03:57.35,+40:45:24.9
3105,9.70,10:00:39.52,-54:47:15.7
3106,12.42,10:04:05.25,+31:11:07.7
3108,11.47,10:02:29.03,-31:40:38.7
3109,10.54,10:03:06.88,-26:09:34.5
3114,4.20,10:02:29.57,-60:07:49.9
3115,9.09,10:05:13.98,-07:43:06.9
3120,12.77,10:05:23.04,-34:13:11.8
3124,12.15,10:06:39.90,-19:13:17.7
3125,12.87,10:06:33.37,-29:56:05.5
3132,9.20,10:07:01.73,-40:26:11.7
3136,10.67,10:05:48.16,-67:22:40.7
3136,11.79,10:10:12.93,-67:00:18.3
3137,11.57,10:09:07.48,-29:03:51.5
3140,14.07,10:09:27.82,-16:37:41.4
3143,14.28,10:10:03.98,-12:34:52.9
3145,12.00,10:10:09.87,-12:26:01.6
3147,11.94,10:16:53.65,+73:24:02.7
3148,6.63,10:13:43.83,+50:29:47.5
3153,12.84,10:12:50.50,+12:40:00.0
3156,12.30,10:12:41.25,+03:07:45.7
3158,11.88,10:13:50.52,+38:45:53.6
3159,13.59,10:13:52.83,+38:39:16.1
3162,11.72,10:13:31.59,+22:44:15.2
3163,13.34,10:14:07.10,+38:39:09.2
3165,13.87,10:13:31.30,+03:22:30.1
3166,10.62,10:13:45.60,+03:25:29.0
3169,10.89,10:14:15.05,+03:27:57.9
3175,11.26,10:14:42.11,-28:52:19.4
3177,12.37,10:16:34.14,+21:07:23.0
3184,9.84,10:18:16.86,+41:25:26.6
3185,12.20,10:17:38.57,+21:41:17.7
3187,13.28,10:17:47.86,+21:52:24.0
3189,11.05,10:18:05.63,+21:49:56.3
3193,11.02,10:18:24.90,+21:53:38.3
3195,11.60,10:09:20.98,-80:51:30.9
3198,10.38,10:19:54.95,+45:32:58.6
3200,12.10,10:18:36.55,-17:58:57.1
3201,8.24,10:17:36.76,-46:24:40.4
3203,12.13,10:19:33.83,-26:41:56.0
3208,12.89,10:19:41.29,-25:48:53.1
3211,10.70,10:17:50.51,-62:40:12.2
3219,14.21,10:22:37.44,+38:34:45.0
3220,13.95,10:23:44.66,+57:01:36.7
3222,12.79,10:22:34.51,+19:53:13.3
3223,10.96,10:21:35.08,-34:16:00.5
3224,12.21,10:21:41.19,-34:41:48.4
3225,13.66,10:25:09.90,+58:09:00.0
3226,12.95,10:23:27.01,+19:53:54.7
3227,11.72,10:23:30.58,+19:51:54.2
3228,6.00,10:21:22.24,-51:43:21.3
3239,11.40,10:25:04.89,+17:09:48.9
3242,7.70,10:24:46.08,-18:38:32.0
3244,12.32,10:25:28.84,-39:49:39.2
3245,10.75,10:27:18.39,+28:30:26.8
3247,7.60,10:24:14.00,-57:45:48.0
3250,11.02,10:26:32.28,-39:56:38.2
3250,12.63,10:27:44.77,-40:26:06.1
3250,14.23,10:27:42.47,-40:00:09.3
3253,13.59,10:28:27.32,+12:42:14.6
3254,11.66,10:29:19.94,+29:29:30.6
3255,11.00,10:26:31.36,-60:40:30.7
3256,11.58,10:27:51.27,-43:54:13.5
3257,13.12,10:28:47.12,-35:39:29.1
3258,11.41,10:28:53.57,-35:36:19.9
3258,13.24,10:28:19.16,-35:27:16.1
3259,12.72,10:32:34.85,+65:02:27.9
3260,12.67,10:29:06.39,-35:35:42.7
3261,11.41,10:29:01.46,-44:39:24.6
3262,13.13,10:29:06.23,-44:09:34.8
3263,12.15,10:29:13.36,-44:07:22.5
3264,13.16,10:32:19.70,+56:05:07.0
3265,13.54,10:31:06.77,+28:47:48.0
3267,13.35,10:29:48.59,-35:19:20.6
3268,11.41,10:30:00.66,-35:19:31.7
3269,12.26,10:29:57.06,-35:13:27.8
3270,13.05,10:31:29.98,+24:52:10.0
3271,11.73,10:30:26.49,-35:21:34.2
3273,12.48,10:30:29.17,-35:36:38.3
3274,12.84,10:32:17.27,+27:40:07.6
3275,11.65,10:30:51.80,-36:44:13.1
3277,11.65,10:32:55.45,+28:30:42.2
3281,11.95,10:31:52.09,-34:51:13.3
3283,11.74,10:31:11.60,-46:15:04.6
3284,13.67,10:36:21.24,+58:37:12.6
3285,11.98,10:33:35.84,-27:27:16.0
3285,13.84,10:32:48.78,-27:31:20.8
3285,13.20,10:34:36.88,-27:39:10.6
3288,13.99,10:36:25.67,+58:33:22.3
3289,12.55,10:34:07.43,-35:19:24.2
3293,4.70,10:35:48.77,-58:13:28.1
3294,11.68,10:36:16.25,+37:19:28.9
3301,11.41,10:36:56.04,+21:52:55.7
3303,14.50,10:37:00.01,+18:08:09.2
3305,12.74,10:36:11.75,-27:09:43.9
3307,14.40,10:36:17.17,-27:31:47.1
3308,12.30,10:36:22.40,-27:26:17.3
3309,11.74,10:36:35.70,-27:31:06.4
3310,11.61,10:38:45.86,+53:30:12.2
3311,11.32,10:36:42.82,-27:31:42.0
3312,12.89,10:37:02.52,-27:33:54.2
3313,11.73,10:37:25.45,-25:19:10.0
3314,13.11,10:37:12.85,-27:41:02.2
3315,13.05,10:37:19.23,-27:11:32.3
3316,12.59,10:37:37.32,-27:35:39.5
3318,11.50,10:37:15.51,-41:37:39.2
3319,11.37,10:39:09.46,+41:41:12.0
3324,6.70,10:37:16.21,-58:37:10.4
3325,13.00,10:39:20.45,-00:12:00.9
3330,7.40,10:38:45.43,-54:07:50.6
3333,13.12,10:39:49.83,-36:02:10.2
3334,12.84,10:41:31.20,+37:18:46.3
3336,12.31,10:40:17.02,-27:46:37.5
3338,10.88,10:42:07.54,+13:44:49.2
3340,13.24,10:42:17.99,-00:22:36.7
3344,9.98,10:43:31.15,+24:55:20.0
3347,11.51,10:42:46.55,-36:21:09.6
3348,10.92,10:47:10.00,+72:50:22.8
3351,9.77,10:43:57.70,+11:42:13.7
3352,12.56,10:44:14.93,+22:22:16.3
3353,12.70,10:45:22.41,+55:57:37.4
3354,13.23,10:43:02.94,-36:21:44.6
3355,13.73,10:41:25.99,-23:23:03.3
3356,13.28,10:44:12.23,+06:45:31.6
3358,11.61,10:43:33.02,-36:24:38.5
3359,10.55,10:46:36.86,+63:13:27.2
3360,13.73,10:44:16.18,-11:14:33.2
3361,12.84,10:44:29.17,-11:12:28.5
3362,15.00,10:44:51.72,+06:35:48.2
3365,12.57,10:46:12.59,+01:48:47.8
3366,11.71,10:35:08.28,-43:41:30.5
3367,11.73,10:46:34.95,+13:45:03.1
3368,9.21,10:46:45.74,+11:49:11.8
3369,13.58,10:46:44.65,-25:14:40.0
3370,12.16,10:47:04.05,+17:16:25.0
3375,12.61,10:47:00.79,-09:56:28.7
3377,10.27,10:47:42.33,+13:59:09.3
3377,13.71,10:47:22.30,+14:04:10.0
3379,9.27,10:47:49.59,+12:34:53.8
3384,9.96,10:48:16.89,+12:37:45.4
3389,12.04,10:48:27.91,+12:31:59.5
3390,12.23,10:48:04.36,-31:32:00.1
3392,16.11,10:51:03.00,+65:46:53.6
3393,13.09,10:48:23.46,-25:09:43.4
3395,12.06,10:49:50.11,+32:58:58.3
3396,12.50,10:49:55.07,+32:59:27.0
3402,11.89,10:50:26.47,-12:50:40.6
3412,10.53,10:50:53.28,+13:24:43.7
3414,11.09,10:51:16.21,+27:58:30.4
3415,12.61,10:51:42.60,+43:42:45.4
3423,11.17,10:51:14.33,+05:50:24.1
3430,11.81,10:52:11.40,+32:57:01.6
3432,11.27,10:52:31.13,+36:37:07.6
3437,12.19,10:52:35.75,+22:56:02.9
3442,13.41,10:53:08.11,+33:54:37.3
3445,12.66,10:54:35.49,+56:59:26.5
3448,11.98,10:54:39.20,+54:18:17.5
3450,11.83,10:48:03.62,-20:50:57.1
3455,12.73,10:54:31.09,+17:17:05.1
3464,12.63,10:54:40.01,-21:03:59.9
3467,13.43,10:56:44.08,+09:45:32.1
3471,12.78,10:59:09.01,+61:31:50.5
3478,12.87,10:59:27.36,+46:07:20.6
3482,12.62,10:58:34.27,-46:35:02.0
3485,12.24,11:00:02.38,+14:50:29.7
3486,10.57,11:00:23.87,+28:58:30.5
3489,10.23,11:00:18.57,+13:54:04.4
3491,13.23,11:00:35.40,+12:09:41.6
3492,13.14,11:00:57.42,+10:30:19.7
3496,8.20,10:59:33.81,-60:20:12.7
3504,12.18,11:03:11.21,+27:58:21.0
3511,11.02,11:03:23.77,-23:05:12.4
3512,12.29,11:04:02.94,+28:02:12.5
3513,11.66,11:03:46.08,-23:14:43.8
3516,12.09,11:06:47.49,+72:34:06.9
3519,7.70,11:04:02.77,-61:22:05.7
3521,9.11,11:05:48.58,-00:02:09.1
3532,3.00,11:05:47.82,-58:46:13.8
3534,14.04,11:08:55.66,+26:36:37.8
3534,14.86,11:08:57.17,+26:35:46.1
3543,14.14,11:10:56.45,+61:20:49.3
3547,12.88,11:09:55.94,+10:43:15.0
3549,12.14,11:10:56.87,+53:23:16.0
3550,13.22,11:10:38.40,+28:46:03.4
3556,10.05,11:11:30.97,+55:40:26.8
3557,10.42,11:09:57.64,-37:32:21.0
3557,12.55,11:09:32.13,-37:20:58.7
3561,14.70,11:11:13.20,+28:41:47.3
3562,12.20,11:12:58.68,+72:52:45.5
3564,12.16,11:10:36.38,-37:32:51.3
3568,12.41,11:10:48.57,-37:26:52.3
3572,6.60,11:10:19.20,-60:14:54.1
3573,12.33,11:11:18.57,-36:52:31.9
3585,9.69,11:13:17.09,-26:45:17.4
3587,9.90,11:14:47.71,+55:01:08.5
3590,8.20,11:12:58.97,-60:47:20.5
3593,10.91,11:14:37.00,+12:49:03.6
3596,11.49,11:15:06.21,+14:47:13.3
3597,13.09,11:14:41.97,-23:43:39.7
3599,12.01,11:15:26.96,+18:06:37.4
3604,12.22,11:17:30.17,+04:33:20.1
3605,12.30,11:16:46.59,+18:01:01.8
3607,10.00,11:16:54.64,+18:03:06.3
3608,10.63,11:16:58.95,+18:08:55.3
3610,10.77,11:18:25.27,+58:47:10.6
3613,10.81,11:18:36.11,+58:00:00.0
3614,12.15,11:18:21.32,+45:44:53.6
3617,12.75,11:17:50.86,-26:08:03.9
3620,13.88,11:16:04.68,-76:12:58.7
3621,9.55,11:18:16.51,-32:48:50.6
3622,13.13,11:20:12.37,+67:14:29.6
3623,9.32,11:18:55.92,+13:05:32.5
3626,10.98,11:20:03.81,+18:21:24.6
3627,8.92,11:20:14.96,+12:59:29.5
3628,9.45,11:20:16.97,+13:35:22.9
3631,10.42,11:21:02.87,+53:10:10.4
3636,12.40,11:20:25.04,-10:16:54.4
3637,12.63,11:20:39.57,-10:15:26.5
3640,10.41,11:21:06.85,+03:14:05.4
3641,13.21,11:21:08.81,+03:11:40.5
3642,12.19,11:22:17.89,+59:04:28.3
3646,11.20,11:21:43.08,+20:10:10.4
3648,12.64,11:22:31.51,+39:52:36.8
3652,12.66,11:22:39.03,+37:45:54.4
3655,11.67,11:22:54.62,+16:35:24.1
3656,12.75,11:23:38.65,+53:50:31.6
3658,12.16,11:23:58.26,+38:33:44.4
3660,12.66,11:23:32.28,-08:39:30.8
3664,12.70,11:24:24.25,+03:19:30.0
3665,10.83,11:24:43.67,+38:45:46.3
3672,11.34,11:25:02.47,-09:47:43.4
3673,11.57,11:25:12.85,-26:44:12.2
3675,10.09,11:26:08.58,+43:35:09.3
3680,7.60,11:25:37.08,-43:15:00.4
3681,11.92,11:26:29.80,+16:51:47.5
3682,12.49,11:27:41.20,+66:35:23.4
3684,11.81,11:27:11.20,+17:01:48.6
3686,11.43,11:27:43.97,+17:13:27.1
3687,12.58,11:28:00.61,+29:30:39.8
3689,12.31,11:28:11.03,+25:39:40.2
3690,12.86,11:28:31.02,+58:33:40.7
3697,13.06,11:28:50.38,+20:47:42.1
3699,11.30,11:27:57.15,-59:57:29.0
3701,13.02,11:29:28.92,+24:05:36.4
3705,10.97,11:30:07.46,+09:16:35.9
3706,11.30,11:29:44.43,-36:23:28.7
3710,13.09,11:31:06.94,+22:46:05.0
3717,11.23,11:31:31.99,-30:18:27.9
3718,10.70,11:32:34.85,+53:04:04.5
3719,13.11,11:32:13.46,+00:49:09.4
3720,13.02,11:32:21.60,+00:48:14.4
3725,13.18,11:33:40.53,+61:53:16.8
3726,10.49,11:33:21.12,+47:01:45.1
3729,11.56,11:33:49.32,+53:07:32.0
3732,12.36,11:34:13.94,-09:50:44.4
3733,12.43,11:35:01.60,+54:51:01.8
3735,12.50,11:35:57.30,+70:32:08.1
3738,11.45,11:35:48.79,+54:31:26.0
3741,14.03,11:36:06.18,+45:17:01.1
3742,12.06,11:35:32.51,-37:57:23.0
3749,12.76,11:35:53.21,-37:59:50.5
3752,13.81,11:32:32.21,+74:37:39.1
3755,12.79,11:36:33.37,+36:24:37.2
3756,11.52,11:36:48.02,+54:17:36.8
3758,14.08,11:36:29.10,+21:35:46.0
3759,13.29,11:36:54.09,+54:49:23.9
3763,13.16,11:36:30.19,-09:50:48.1
3766,5.30,11:36:14.39,-61:36:18.6
3767,13.44,11:37:15.56,+16:52:37.8
3771,12.59,11:39:06.00,-09:20:53.5
3783,12.67,11:39:01.76,-37:44:19.2
3786,13.74,11:39:42.55,+31:54:33.4
3788,12.50,11:39:44.65,+31:55:52.3
3794,13.01,11:40:53.42,+56:12:07.3
3796,12.86,11:40:31.12,+60:17:56.1
3797,14.90,11:40:13.31,+31:54:23.6
3798,13.10,11:40:13.94,+24:41:49.4
3801,12.26,11:40:16.94,+17:43:41.0
3802,13.55,11:40:18.78,+17:45:55.2
3806,13.62,11:40:46.63,+17:47:46.6
3808,13.63,11:40:44.24,+22:25:45.7
3808,12.02,11:40:44.64,+22:26:49.0
3810,10.75,11:40:58.76,+11:28:16.1
3811,12.33,11:41:16.63,+47:41:26.9
3813,11.70,11:41:18.66,+36:32:48.5
3816,12.52,11:41:48.04,+20:06:13.1
3817,13.30,11:41:52.95,+10:18:15.8
3818,11.75,11:41:57.36,-06:09:20.4
3821,12.85,11:42:09.11,+20:18:56.4
3822,13.70,11:42:11.11,+10:16:40.0
3825,12.98,11:42:23.73,+10:15:50.9
3827,13.30,11:42:36.27,+18:50:43.6
3832,12.94,11:43:31.44,+22:43:31.6
3835,13.07,11:44:04.90,+60:07:11.2
3837,13.24,11:43:56.43,+19:53:40.5
3838,12.32,11:44:13.76,+57:56:53.6
3840,13.94,11:43:58.96,+20:04:37.3
