id,mag,ra,dec
777,11.46,02:00:14.90,+31:25:46.5
779,11.21,01:59:42.28,-05:57:47.5
782,12.07,01:57:40.38,-57:47:24.6
784,11.73,02:01:16.93,+28:50:14.1
788,12.33,02:01:06.45,-06:48:55.9
794,12.73,02:02:29.33,+18:22:22.8
795,14.30,01:59:49.36,-55:49:27.0
797,12.64,02:03:27.94,+38:07:01.0
801,13.07,02:03:44.83,+38:15:31.4
802,13.68,01:59:06.00,-67:52:12.5
803,12.41,02:03:44.70,+16:01:51.5
808,13.52,02:03:56.60,-23:18:41.8
818,12.51,02:08:44.52,+38:46:37.9
821,10.77,02:08:21.14,+10:59:41.7
822,13.17,02:06:39.14,-41:09:24.3
824,14.10,02:06:53.26,-36:27:11.4
828,12.24,02:10:09.57,+39:11:25.3
833,12.90,02:09:20.84,-10:07:59.1
834,13.05,02:11:01.29,+37:39:58.6
835,12.41,02:09:24.60,-10:08:09.3
838,12.91,02:09:38.53,-10:08:48.1
839,13.17,02:09:42.93,-10:11:02.7
840,13.42,02:10:16.21,+07:50:43.1
841,13.12,02:11:17.36,+37:29:49.8
842,12.69,02:09:50.79,-07:45:44.9
845,13.49,02:12:19.79,+37:28:38.4
848,13.10,02:10:17.64,-10:19:17.2
855,12.56,02:14:03.49,+27:52:38.4
856,16.54,02:13:38.36,-00:43:02.2
858,13.75,02:12:30.17,-22:28:17.5
862,12.89,02:13:03.00,-42:02:00.7
863,13.71,02:14:33.56,-00:46:00.1
864,11.07,02:15:27.64,+06:00:09.4
869,3.70,02:18:58.56,+57:07:02.1
871,13.55,02:17:10.73,+14:32:52.2
873,12.71,02:16:32.36,-11:20:54.8
877,11.86,02:17:59.64,+14:32:38.6
879,15.50,02:16:51.20,-08:57:50.5
880,15.11,02:18:27.18,-04:12:20.7
881,12.44,02:18:45.27,-06:38:20.7
884,3.80,02:22:32.10,+57:08:38.8
888,14.50,02:17:27.10,-59:51:39.8
890,11.87,02:22:01.01,+33:15:57.8
891,10.01,02:22:33.41,+42:20:56.9
895,11.77,02:21:36.47,-05:31:17.0
897,11.85,02:21:06.37,-33:43:14.4
906,12.90,02:25:16.26,+42:05:23.6
907,12.60,02:23:01.91,-20:42:43.4
908,10.31,02:23:04.57,-21:14:01.9
910,12.25,02:25:26.78,+41:49:27.4
918,13.21,02:25:50.84,+18:29:46.5
922,12.00,02:25:04.42,-24:47:17.4
925,10.12,02:27:16.88,+33:34:45.0
926,13.25,02:26:06.71,-00:19:55.0
931,14.50,02:28:14.48,+31:18:42.0
934,13.43,02:27:32.93,-00:14:40.4
935,12.82,02:28:11.15,+19:35:56.8
936,10.23,02:27:37.46,-01:09:22.6
941,12.49,02:28:27.85,-01:09:05.5
945,12.12,02:28:37.28,-10:32:20.3
947,12.62,02:28:33.12,-19:02:31.6
949,11.89,02:30:48.65,+37:08:12.4
954,12.91,02:28:51.63,-41:24:09.6
955,11.96,02:30:33.15,-01:06:30.3
956,8.90,02:32:30.90,+44:35:36.5
957,7.60,02:33:19.03,+57:34:10.9
958,12.18,02:30:42.83,-02:56:20.4
959,12.48,02:32:23.94,+35:29:40.7
966,12.99,02:31:47.16,-19:52:54.1
969,12.41,02:34:08.20,+32:56:49.0
972,11.33,02:34:13.38,+29:18:40.6
976,12.41,02:34:00.02,+20:58:36.4
984,13.57,02:34:43.10,+23:24:46.8
985,14.09,02:34:37.77,-08:47:15.4
986,10.91,02:33:34.35,-39:02:42.2
986,13.97,02:32:41.45,-39:17:46.4
988,11.21,02:35:27.75,-09:21:22.3
990,12.46,02:36:18.21,+11:38:31.5
992,15.13,02:37:25.49,+21:06:03.0
1003,11.51,02:39:16.89,+40:52:20.3
1004,12.69,02:37:41.78,+01:58:31.1
1015,12.47,02:38:11.56,-01:19:07.3
1016,11.64,02:38:19.56,+02:07:09.3
1019,14.95,02:38:27.41,+01:54:27.8
1022,11.35,02:38:32.71,-06:40:38.7
1023,9.47,02:40:24.01,+39:03:47.8
1023,13.80,02:40:37.7,+39:03:27
1024,12.30,02:39:11.96,+10:50:48.6
1025,13.36,02:36:19.93,-54:51:51.0
1027,6.70,02:42:35.06,+61:35:39.7
1028,14.79,02:39:37.15,+10:50:37.2
1029,13.11,02:39:36.54,+10:47:36.0
1031,12.52,02:36:38.76,-54:51:35.2
1032,11.67,02:39:23.64,+01:05:37.6
1036,13.19,02:40:28.99,+19:17:49.6
1039,5.20,02:42:07.40,+42:44:46.1
1042,11.22,02:40:23.97,-08:26:00.8
1044,13.22,02:41:06.16,+08:44:16.9
1048,14.50,02:40:37.95,-08:32:00.1
1048,14.52,02:40:35.7,-08:32:50
1050,13.50,02:42:35.59,+34:45:48.6
1052,11.04,02:41:04.80,-08:15:20.8
1055,10.60,02:41:45.23,+00:26:35.4
1056,12.35,02:42:48.30,+28:34:27.1
1058,11.25,02:43:30.00,+37:20:28.8
1060,11.82,02:43:15.05,+32:25:29.9
1067,13.69,02:43:50.52,+32:30:42.8
1068,9.29,02:42:40.71,-00:00:47.8
1073,11.05,02:43:40.52,+01:22:34.0
1079,11.44,02:43:44.34,-29:00:12.1
1080,13.58,02:45:09.94,-04:42:38.8
1084,10.60,02:45:59.91,-07:34:42.5
1087,11.02,02:46:25.16,-00:29:55.1
1090,11.97,02:46:33.94,-00:14:49.8
1091,15.17,02:45:22.43,-17:31:59.4
1092,14.48,02:45:29.57,-17:32:32.2
1096,12.78,02:43:49.29,-59:54:48.3
1097,9.76,02:46:19.05,-30:16:29.6
1097,13.16,02:46:09.9,-30:13:41
1098,12.71,02:44:53.67,-17:39:32.9
1099,13.21,02:45:18.02,-17:42:30.1
1100,13.12,02:45:36.07,-17:41:20.2
1101,13.05,02:48:14.83,+04:34:40.9
1103,12.87,02:48:06.00,-13:57:33.2
1107,12.22,02:49:19.61,+08:05:33.5
1125,12.81,02:51:40.27,-16:39:03.7
1128,12.70,02:57:41.56,+06:01:36.9
1129,13.60,02:54:27.38,+41:34:46.5
1132,12.30,02:52:51.91,-01:16:28.9
1136,12.97,02:50:53.70,-54:58:33.3
1137,12.84,02:54:02.73,+02:57:43.5
1140,12.43,02:54:33.58,-10:01:39.9
1144,13.96,02:55:12.20,-00:11:00.8
1145,12.47,02:54:33.51,-18:38:06.3
1156,11.63,02:59:42.30,+25:14:16.2
1160,12.82,03:01:13.25,+44:57:19.5
1161,11.89,03:01:14.13,+44:53:50.4
1163,13.80,03:00:22.09,-17:09:09.1
1167,12.64,03:01:42.37,+35:12:20.7
1169,11.41,03:03:34.75,+46:23:10.9
1172,11.75,03:01:36.05,-14:50:11.7
1175,12.80,03:04:32.35,+42:20:21.5
1179,12.00,03:02:38.48,-18:53:52.0
1184,12.19,03:16:45.03,+80:47:36.0
1187,10.92,03:02:37.59,-22:52:01.8
1193,12.60,03:05:55.67,+44:22:59.2
1194,13.80,03:03:49.11,-01:06:13.5
1199,11.43,03:03:38.41,-15:36:47.5
1201,10.81,03:04:07.98,-26:04:10.7
1209,11.38,03:06:03.02,-15:36:40.5
1210,12.71,03:06:45.36,-25:42:59.2
1211,12.35,03:06:52.42,-00:47:40.1
1217,13.30,03:06:06.02,-39:02:11.0
1218,13.16,03:08:26.22,+04:06:39.3
1219,12.99,03:08:27.97,+02:06:30.9
1220,11.80,03:11:40.67,+53:20:53.4
1222,12.55,03:08:56.74,-02:57:18.5
1229,14.45,03:08:10.79,-22:57:38.9
1232,10.11,03:09:45.51,-20:34:45.5
1233,13.16,03:12:33.11,+39:19:08.1
1241,12.63,03:11:14.64,-08:55:19.7
1242,13.71,03:11:19.32,-08:54:08.7
1245,8.40,03:14:41.46,+47:14:19.3
1247,12.48,03:12:14.32,-10:28:52.0
1248,12.67,03:12:48.56,-05:13:28.9
1249,11.77,03:10:01.23,-53:20:08.7
1250,12.83,03:15:21.10,+41:21:19.5
1253,11.78,03:14:09.05,-02:49:22.6
1253,13.80,03:14:23.3,-02:48:03
1255,11.17,03:13:32.04,-25:43:30.6
1256,13.55,03:13:58.27,-21:59:11.1
1261,8.63,03:12:15.34,-55:13:00.5
1262,14.20,03:15:33.58,-15:52:45.5
1265,11.92,03:18:15.66,+41:51:27.9
1267,12.98,03:18:44.92,+41:28:03.8
1269,8.70,03:17:18.59,-41:06:29.0
1270,13.03,03:18:58.15,+41:28:12.0
1272,11.88,03:19:21.29,+41:29:26.3
1273,13.16,03:19:26.74,+41:32:25.9
1275,12.24,03:19:48.16,+41:30:42.1
1277,13.51,03:19:51.49,+41:34:24.7
1278,12.45,03:19:54.15,+41:33:48.2
1280,13.41,03:17:57.07,-00:10:08.7
1281,13.35,03:20:06.11,+41:37:48.1
1282,12.88,03:20:12.12,+41:22:01.2
1283,13.61,03:20:15.52,+41:23:55.2
1288,12.17,03:17:13.19,-32:34:33.2
1289,12.57,03:18:49.81,-01:58:24.0
1292,12.13,03:18:14.89,-27:36:37.2
1293,13.39,03:21:36.46,+41:23:34.2
1294,13.26,03:21:39.96,+41:21:38.0
1297,14.70,03:19:14.22,-19:06:00.0
1298,13.96,03:20:13.08,-02:06:50.8
1300,10.52,03:19:41.08,-19:24:40.9
1301,13.40,03:20:35.33,-18:42:55.2
1302,10.63,03:19:51.18,-26:03:37.6
1305,11.97,03:21:22.97,-02:19:00.6
1309,11.58,03:22:06.56,-15:24:00.2
1310,12.10,03:21:03.43,-37:06:06.1
1311,12.94,03:20:06.96,-52:11:07.9
1313,9.49,03:18:16.05,-66:29:53.7
1316,8.48,03:22:41.72,-37:12:29.6
1317,10.88,03:22:44.29,-37:06:13.3
1320,13.38,03:24:48.70,-03:02:32.2
1325,11.54,03:24:25.57,-21:32:38.5
1325,12.84,03:24:48.5,-21:20:10
1326,10.45,03:23:56.40,-36:27:52.8
1326,13.27,03:25:20.3,-36:23:06
1329,12.65,03:26:02.59,-17:35:29.4
1331,13.42,03:26:28.29,-21:21:19.1
1332,10.36,03:26:17.25,-21:20:06.8
1336,12.31,03:26:32.19,-35:42:48.8
1337,12.86,03:28:05.96,-08:23:19.0
1339,11.75,03:28:06.58,-32:17:10.0
1340,10.37,03:28:19.67,-31:04:05.4
1341,12.42,03:27:58.42,-37:09:00.0
1342,6.70,03:31:40.12,+37:22:45.8
1343,12.37,03:37:49.70,+72:34:16.8
1345,13.75,03:29:31.69,-17:46:42.2
1346,16.39,03:30:13.27,-05:32:35.9
1349,13.09,03:31:27.50,+04:22:51.0
1350,10.31,03:31:08.12,-33:37:43.1
1351,11.46,03:30:34.98,-34:51:14.2
1352,13.35,03:31:32.98,-19:16:42.4
1353,11.46,03:32:03.02,-20:49:09.0
1355,13.19,03:33:23.50,-04:59:55.3
1356,13.14,03:30:40.79,-50:18:34.6
1357,11.44,03:33:17.08,-13:39:50.9
1358,12.78,03:33:39.67,-05:05:21.8
1359,12.35,03:33:47.71,-19:29:31.4
1360,9.40,03:33:14.65,-25:52:18.2
1365,10.10,03:33:36.37,-36:08:25.4
1366,11.91,03:33:53.68,-31:11:38.8
1367,10.66,03:35:01.34,-24:55:59.6
1373,13.26,03:34:59.21,-35:10:16.0
1374,11.14,03:35:16.59,-35:13:34.5
1375,12.39,03:35:16.82,-35:15:56.4
1379,11.02,03:36:03.95,-35:26:28.3
1380,9.94,03:36:27.59,-34:58:34.4
1380,12.39,03:36:47.5,-34:44:23
1381,11.47,03:36:31.68,-35:17:42.7
1382,12.86,03:37:08.96,-35:11:42.1
1383,12.50,03:37:39.24,-18:20:22.1
1385,11.03,03:37:28.85,-24:30:01.1
1386,11.86,03:36:46.18,-35:59:57.9
1387,10.75,03:36:57.06,-35:30:23.9
1389,11.51,03:37:11.78,-35:44:44.1
1390,14.07,03:37:52.17,-19:00:30.1
1391,13.35,03:38:52.96,-18:21:14.8
1393,12.06,03:38:38.58,-18:25:40.7
1394,12.82,03:39:06.92,-18:17:32.2
1395,9.65,03:38:29.75,-23:01:39.1
1396,14.88,03:38:06.54,-35:26:24.4
1398,9.55,03:38:52.13,-26:20:16.2
1399,9.40,03:38:29.03,-35:27:02.4
1400,11.06,03:39:30.84,-18:41:17.1
1401,12.29,03:39:21.85,-22:43:28.9
1402,13.54,03:39:30.57,-18:31:37.0
1403,12.74,03:39:10.84,-22:23:19.5
1404,9.93,03:38:51.92,-35:35:39.8
1406,11.82,03:39:23.30,-31:19:17.1
1407,9.65,03:40:11.86,-18:34:48.4
1410,15.22,03:41:10.75,-01:17:55.6
1411,11.19,03:38:44.87,-44:06:02.2
1412,13.13,03:40:29.37,-26:51:44.1
1415,11.53,03:40:56.86,-22:33:52.1
1417,12.08,03:41:57.42,-04:42:17.5
1418,13.73,03:42:16.16,-04:43:50.7
1419,12.61,03:40:42.11,-37:30:39.0
1421,11.52,03:42:29.28,-13:29:16.9
1424,13.80,03:43:14.04,-04:43:48.3
1425,10.70,03:42:11.47,-29:53:36.0
1426,11.47,03:42:49.11,-22:06:30.1
1427,10.88,03:42:19.42,-35:23:33.2
1433,9.95,03:42:01.55,-47:13:19.5
1436,11.69,03:43:37.08,-35:51:10.9
